度数464  insert:41.2784  delete:0.017295
度数465  insert:41.0409  delete:0.017766
度数466  insert:41.1832  delete:0.017181
度数467  insert:41.2222  delete:0.017913
度数468  insert:41.3995  delete:0.019501
度数469  insert:41.2884  delete:0.017011
度数470  insert:41.4377  delete:0.01796
度数471  insert:41.3107  delete:0.018577
度数472  insert:41.542  delete:0.017606
度数473  insert:41.6224  delete:0.017167
度数474  insert:41.6358  delete:0.017948
度数475  insert:41.6847  delete:0.017958
度数476  insert:41.7308  delete:0.017122
度数477  insert:41.6607  delete:0.0178
度数478  insert:41.9329  delete:0.017817
度数479  insert:41.8453  delete:0.018582
度数480  insert:41.9815  delete:0.018808
度数481  insert:42.2872  delete:0.017492
度数482  insert:42.3933  delete:0.020317
度数483  insert:41.9804  delete:0.018688
度数484  insert:42.1395  delete:0.017363
度数485  insert:42.1833  delete:0.016817
度数486  insert:42.3436  delete:0.01802
度数487  insert:42.227  delete:0.018622
度数488  insert:42.3369  delete:0.01734
度数489  insert:42.3952  delete:0.016806
度数490  insert:42.6427  delete:0.018204
度数491  insert:42.3838  delete:0.017114
度数492  insert:42.6233  delete:0.016402
度数493  insert:42.8002  delete:0.016236
度数494  insert:43.6132  delete:0.016991
度数495  insert:42.9024  delete:0.017268
度数496  insert:42.8876  delete:0.016651
度数497  insert:42.9265  delete:0.015686
度数498  insert:42.8945  delete:0.016974
度数499  insert:43.0568  delete:0.016445
度数500  insert:43.0699  delete:0.016946
度数501  insert:42.9805  delete:0.016329
度数502  insert:43.188  delete:0.016053
度数503  insert:43.2726  delete:0.01661
度数504  insert:43.4181  delete:0.016115
度数505  insert:43.1926  delete:0.015293
度数506  insert:43.4391  delete:0.017417
度数507  insert:43.3814  delete:0.016142
度数508  insert:43.441  delete:0.015712
度数509  insert:43.5245  delete:0.016672
度数510  insert:43.5126  delete:0.01612
度数511  insert:43.443  delete:0.016861
度数512  insert:43.6776  delete:0.015515
度数513  insert:43.9497  delete:0.017104
度数514  insert:43.8715  delete:0.017308
